ID WHO city,Region,iso3,Country,City,Location,lon,lat,pm10,Year,Number and type of monitoring stations,note on converted PM10,pm25,note on converted PM2.5,Temporal coverage,for air quality
343,Amr HI,CAN,Canada,STUKELY-SUD,"STUKELY-SUD, Canada",-72.4151279,45.3169427,9,2013,"1 station, NA",converted from PM2.5,5,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
1662,Eur HI,ITA,Italy,VERCELLI,"VERCELLI, Italy",8.4185735,45.3202272,33,2013,"1 station, traffic, urban",measured data,23,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
623,Eur HI,HRV,Croatia,RIJEKA,"RIJEKA, Croatia",14.442176,45.3270631,18,2013,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1644,Eur HI,ITA,Italy,TAVAZZANO CON VILLAVESCO,"TAVAZZANO CON VILLAVESCO, Italy",9.4035201,45.3290416,35,2013,0,measured data,23,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
998,Eur HI,FRA,France,SALAISE-SUR-SANNE,"SALAISE-SUR-SANNE, France",4.817731,45.344334,21,2014,"1 station, Traffic suburban",measured data,16,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
312,Amr HI,CAN,Canada,PARRY SOUND,"PARRY SOUND, Canada",-80.034783,45.3473925,11,2013,"1 station, NA",converted from PM2.5,6,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
1038,Eur HI,FRA,France,VOIRON,"VOIRON, France",5.591349,45.362713,21,2014,0,measured data,13,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1508,Eur HI,ITA,Italy,CREMA,"CREMA, Italy",9.6824841,45.3643375,39,2013,0,measured data,26,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
958,Eur HI,FRA,France,ROISEY,"ROISEY, France",4.67193,45.388011,7,2014,0,measured data,4,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1615,Eur HI,ITA,Italy,SAN BONIFACIO,"SAN BONIFACIO, Italy",11.2742002,45.3953713,36,2013,0,measured data,24,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
337,Amr HI,CAN,Canada,SHERBROOKE,"SHERBROOKE, Canada",-71.8824288,45.4009928,14,2013,"1 station, NA",converted from PM2.5,8,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
287,Amr HI,CAN,Canada,LA PATRIE,"LA PATRIE, Canada",-71.2496433,45.4018576,9,2013,"1 station, NA",converted from PM2.5,5,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
1583,Eur HI,ITA,Italy,PADOVA,"PADOVA, Italy",11.8767611,45.4064349,34,2013,"1 station, background, urban",measured data,28,measured data,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1596,Eur HI,ITA,Italy,PONTI SUL MINCIO,"PONTI SUL MINCIO, Italy",10.6851043,45.4172923,31,2013,"1 station, background, rural",measured data,24,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
